


ANDROID:
-------------

Mozilla/5.0 (Linux; U; Android 6.0.1; zh-CN; F5121 Build/34.0.A.1.247) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.2214.89 UCBrowser/11.5.1.944 Mobile Safari/537.36 	UC Browser 11.5 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; U; Android 2.2.1; en-us; Nexus One Build/FRG83) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 	Android Browser 4 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Linux; Android 7.0; SM-G570M Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36 	Chrome 67 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Linux; Android 6.0; vivo 1606 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36 	Chrome 53 	Web Browser 	Mobile - Tablet 	Very common
Dalvik/2.1.0 (Linux; U; Android 7.1.2; AFTA Build/NS6264) CTV 	Android Browser 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; Android 7.1; vivo 1716 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.98 Mobile Safari/537.36 	Chrome 61 	Web Browser 	Mobile - Tablet 	Very common
Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G610M Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.4 Chrome/59.0.3071.125 Mobile Safari/537.36 	Samsung Browser 7.4 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Linux; Android 6.0; MYA-L22 Build/HUAWEIMYA-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36 	Chrome 62 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; U; Android 4.1.2; de-de; GT-I8190 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 	Android Browser 4 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Linux; Android 5.1; A1601 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.36 	Chrome 52 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; Android 7.0; TRT-LX2 Build/HUAWEITRT-LX2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/59.0.3071.125 Mobile Safari/537.36 	Chrome 59 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; Android 4.4.2; de-de; SAMSUNG GT-I9195 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36 	Chrome 28 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Linux; Android 6.0; CAM-L21 Build/HUAWEICAM-L21; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/62.0.3202.84 Mobile Safari/537.36 	Chrome 62 	Web Browser 	Mobile 	Very common
Mozilla/5.0 (Linux; Android 6.0.1; SM-J500M Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36 	Chrome 69 	Web Browser 	Mobile - Phone 	Very common



WINDOWS : 
-------------

Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0 (via ggpht.com GoogleImageProxy) 	Google Image Proxy 11 	Bot - Crawler 	Server 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36 	Chrome 74 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 	Chrome 72 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36 	Chrome 74 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 	Chrome 60 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134 	Edge 42 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko 	Internet Explorer 11 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 	Firefox 7 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0 	Firefox 54 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1 	Firefox 40.1 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763 	Edge 44 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36 	Chrome 60 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0) 	Internet Explorer 7 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 	Chrome 72 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0 	Firefox 18 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36 	Chrome 74 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1; 125LA; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022) 	Internet Explorer 9 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) 	Internet Explorer 6 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36 	Chrome 46 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko 	Internet Explorer 11 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 	Chrome 69 	Web Browser 	Computer 	Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 	Chrome 63 	Web Browser 	Computer 	Ve



WINDOWS PHONE :
--------------------

Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 635) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 640 LTE) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 535) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 435) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; NOKIA; Lumia 710) 	Internet Explorer Mobile 9 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 630 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; RM-1092) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 520) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 520) 	Internet Explorer Mobile 10 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 930) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 630) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 640 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 635) 	Internet Explorer Mobile 10 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 535 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 530 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; NOKIA; Lumia 830) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Mobile Safari/537.36 Edge/14.14393 	Edge 38 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 920) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 625) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 830) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 920) 	Internet Explorer Mobile 10 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 730 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; RM-1109) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 540 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; RM-1074) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 640 XL Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537 	Internet Explorer Mobile 11 	Web Browser 	Mobile - Phone 	Common
Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Xbox; Xbox One) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Mobile Safari/537.36 Edge/16.16299 	Edge 41 	Web Browser 	Large Screen - Game Console 	Common
Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 550) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Mobile Safari/537.36 Edge/14.14393 	Edge 38 	Web Browser 	Mobile - Phone 	Common



IOS:
-------------

Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 	Webkit based browser 	Web Browser 	Mobile - Phone 	Very common
WeatherReport/1.0.2 CFNetwork/485.13.9 Darwin/11.0.0 	Weather Report 1.0 	Application 	Mobile 	Very common
WeatherReport/1.2.2 CFNetwork/485.13.9 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.2.2 CFNetwork/485.12.7 Darwin/10.4.0 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.2.1 CFNetwork/485.12.7 Darwin/10.4.0 	Weather Report 1.2 	Application 	Mobile 	Very common
Mozilla/5.0 (iPad; CPU OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 	Webkit based browser 	Web Browser 	Mobile - Tablet 	Very common
WeatherReport/1.2.0 CFNetwork/485.12.7 Darwin/10.4.0 	Weather Report 1.2 	Application 	Mobile 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1 	Safari 12.1 	Web Browser 	Mobile - Phone 	Very common
WeatherReport/1.2.1 CFNetwork/485.13.9 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
Outlook-iOS/709.2226530.prod.iphone (3.24.1) 	Outlook 3 	Application 	Mobile - Phone 	Very common
WeatherReport/1.2.2 CFNetwork/485.13.8 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.2.2 CFNetwork/467.12 Darwin/10.3.1 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.0.2 CFNetwork/485.12.7 Darwin/10.4.0 	Weather Report 1.0 	Application 	Mobile 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16D57 	Webkit based browser 	Web Browser 	Mobile - Phone 	Very common
WeatherReport/1.2.1 CFNetwork/467.12 Darwin/10.3.1 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.2.1 CFNetwork/485.13.8 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
WeatherReport/1.0.2 CFNetwork/485.13.8 Darwin/11.0.0 	Weather Report 1.0 	Application 	Mobile 	Very common
WeatherReport/1.2.0 CFNetwork/467.12 Darwin/10.3.1 	Weather Report 1.2 	Application 	Mobile 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 	Webkit based browser 	Web Browser 	Mobile - Phone 	Very common
WeatherReport/1.2.0 CFNetwork/485.13.9 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) 	Webkit based browser 	Web Browser 	Mobile - Phone 	Very common
Outlook-iOS/709.2189947.prod.iphone (3.24.0) 	Outlook 3 	Application 	Mobile - Phone 	Very common
WeatherReport/1.0.2 CFNetwork/467.12 Darwin/10.3.1 	Weather Report 1.0 	Application 	Mobile 	Very common
Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G36 	Webkit based browser 	Web Browser 	Mobile - Tablet 	Very common
WeatherReport/1.0.0 CFNetwork/485.12.7 Darwin/10.4.0 	Weather Report 1.0 	Application 	Mobile 	Very common
WeatherReport/1.2.0 CFNetwork/485.13.8 Darwin/11.0.0 	Weather Report 1.2 	Application 	Mobile 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1 	Safari 11 	Web Browser 	Mobile - Phone 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1 	Safari 12.1 	Web Browser 	Mobile - Phone 	Very common
WeatherReport/1.0.0 CFNetwork/485.13.9 Darwin/11.0.0 	Weather Report 1.0 	Application 	Mobile 	Very common
Mozilla/5.0 (iPad; CPU OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1 	Safari 12.1 	Web Browser 	Mobile - Tablet 	Very common
Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1 	Safari 12 	Web Browser 	Mobile - Phone 	Very common




LINUX:
-------------

